R;factor;vraag;s;nooit;incidenteel;soms;meestal;altijd;Gevoel;Houding;Beeld;Gedrag;Uiting;Transformatie;Vitaliteit;Veranderen;Prestatie;Waarden
18;angst denken;Ik denk dat het altijd wel goed komt;b;0;20;40;80;100;;;;1;;;1;;;
19;perspectief zien;Ik heb een beeld van wat de toekomst voor mij kan brengen;o;0;20;40;80;100;;;;;1;1;;;;
20;oordelen;Ik heb snel een uitgesproken mening;b;100;80;60;20;0;;;;;1;1;;;;
21;duidelijk zijn;Ik ben duidelijk in wat ik van mensen en situaties vind;o;0;20;40;80;100;;1;;;; ;;1;;
22;verwarring zaaien;Ik zet anderen met mijn uitlatingen op het verkeerde been;b;100;80;60;20;0;;1;;;;;;;;
23;passie;ik voel passie voor mijn werk;o;0;20;40;80;100;1;;;;;;;;;1
24;frustratie;Ik baal van de gang van zaken in het werk wat ik doe;b;100;80;60;20;0;1;;;;;;;;;
25;aanleiding benoemen;ik kan de noodzaak aangeven waarom we doen wat we doen;o;0;20;40;80;100;;;1;;;;;1;;
26;afgeleid zijn;Ik zie dat er in de organisatie telkens iets anders urgent is;b;100;80;60;20;0;;;1;;;;;;;
27;keuzes maken;Ik vind het eenvoudig om te kiezen;o;0;20;40;80;100;;;;1;;;;1;;
28;vragen om vragen;Ik blijf vragen stellen terwijl ik het antwoord al weet;b;100;80;60;20;0;;;;1;;;;;;
29;ambities delen;Ik zie in de ambities van de organisatie mijn persoonlijke ambities terug;o;0;20;40;80;100;;;;;1;;;;;
30;terughoudend zijn;Ik reageer uitgelaten op uitdagingen die voorbij komen;b;0;20;40;80;100;;;;;1;;;;;
31;accepteren;Ik accepteer mijn tekortkomingen;o;0;20;40;80;100;;1;;;;;;;;
32;ontlopen;ik wil het gewoon niet over mezelf hebben;b;100;80;60;20;0;;1;;;;;;;;
33;verademing;ik ben opgelucht omdat ik ruimte voel om te bewegen;o;0;20;40;80;100;1;;;;;;;;;
34;teleurstelling;Ik voel me serieus genomen als het om mijn inbreng gaat;b;0;20;40;80;100;1;;;;;;;;;
35;focus aanbrengen;Ik weet waar wij onze pijlen op richten om de ambities waar te maken;o;0;20;40;80;100;;;1;;;;;1;;
36;verdeeld zijn;Ik vind dat er te vaak verdeeldheid is binnen de organisatie.;b;100;80;60;20;0;;;1;;;;;;;
37;grenzen aangeven;Ik geef naar anderen aan tot hier en niet verder.;o;0;20;40;80;100;;;;1;;;;;;
38;onmerkbaar;Ik val op door mijn nek uit te steken.;b;0;20;40;80;100;;;;1;;;1;;;
39;prioriteiten stellen;Ik maak een juiste afweging tussen wat voor mij zowel belangrijk als urgent is.;o;0;20;40;80;100;;;;;1;;;;1;
40;uitsloven;Ik werk keihard om zoveel mogelijk in de gunst te vallen.;b;100;80;60;20;0;;;;;1;;1;;;
41;loslaten;Ik geef zowel gevoelens als gedachten die me dwarszitten een plek.;o;0;20;40;80;100;;1;;;;1;;;;
42;vasthouden;Ik houd vast aan hoe ik het gewend ben om te doen.;b;100;80;60;20;0;;1;;;;;;;;
43;veiligheid;Ik voel me geruggesteund om voor mezelf en anderen op te komen.;o;0;20;40;80;100;1;;;;;1;;;;
44;onzekerheid;Ik heb het gevoel dat ik, bij veel van wat ik doe, tekort schiet.;b;100;80;60;20;0;1;;;;;;;;;
45;commitment geven;Ik zie een echte bereidheid, in woord en daad, om te doen wat er toegezegd is.;o;0;20;40;80;100;;;1;;;;;1;;
46;onduidelijk blijven;Ik krijg geen duidelijk antwoord op vragen die ik over de organisatie heb.;b;100;80;40;20;0;;;1;;;;;;;
47;initiatieven nemen;Ik kom ongevraagd vanuit mezelf in actie.;o;0;20;40;80;100;;;;1;;;;;1;
48;wegkijken;Ik kijk liever weg in plaats van zelf in actie te komen.;b;100;80;60;20;0;;;;1;;;1;;;
49;mogelijkheden zien;Ik zie mogelijkheden om te komen tot veranderingen.;o;0;20;40;80;100;;;;;1;;;;;
50;bedreigingen zien;Ik zie allerlei gevaren op onze organisatie afkomen.;b;100;80;60;20;0;;;;;1;;1;;;
51;onderzoeken;Ik verdiep me in de haalbaarheid van wat we willen bereiken.;o;0;20;40;80;100;;1;;;;;;;;
52;veronderstellen;Ik ga ervan uit dat ik weet hoe het zit.;b;100;80;60;20;0;;1;;;;;;;;
53;verantwoordelijk zijn;Ik neem de verantwoordelijkheid voor wat ik zeg en wat ik doe.;o;0;20;40;80;100;1;;;;;;;;;1
54;miskenning;Ik heb het gevoel dat ik op mijn waarde word geschat.;b;0;20;40;80;100;1;;;;;;;;;
55;kwaliteit leveren;Ik zie dat mijn team de kwaliteit levert die gevraagd wordt.;o;0;20;40;80;100;;;1;;;;;;1;
56;brandjes blussen;Ik zie dat wij niet verder komen dan het blussen van brandjes.;b;100;80;60;20;0;;;1;;;;;;;
57;doelen stellen;Ik heb mijn doelstellingen zowel duidelijk als concreet geformuleerd.;o;0;20;40;80;100;;;;1;;;;1;;
58;meelopen;Ik pas me aan, ook al zie ik het niet zitten.;b;100;80;60;20;0;;;;1;;;1;;;
59;strategie bepalen;Ik heb duidelijk voor ogen hoe ik mijn ambities ga waarmaken.;o;0;20;40;80;100;;;;;1;;;;1;
60;overleven;Ik blijf in de luwte.;b;100;80;60;20;0;;;;;1;;;;;
61;ondersteunen;ik heb voldoende faciliteiten om aan de slag te gaan.;o;0;20;40;80;100;;1;;;;;;;1;
62;onderschatten;Ik maak mezelf kleiner dan nodig is.;b;100;80;60;20;0;;1;;;;;1;;;
63;energiek;Ik bruis van enthousiasme en energie.;o;0;20;40;80;100;1;;;;;1;;;;
64;gelaten zijn;ik zie lijdzaam toe hoe de omstandigheden op het werk zijn.;b;100;80;60;20;0;1;;;;;;;;;
65;communiceren;Ik ben goed geinformeerd over de gang van zaken.;o;0;20;40;80;100;;;1;;;;;;1;
66;roddelen;Ik vind dat er veel geroddeld wordt.;b;100;80;60;20;0;;;1;;;;;;;
67;vaardigheden hebben;Ik mis de vaardigheden om mijn werk goed te kunnen doen.;o;100;80;40;20;0;;;;1;;;;;;
68;weerstand bieden;Ik verzet me tegen de gang van zaken.;b;100;80;60;20;0;;;;1;;;;;;
69;prestaties leveren;Ik ben goed bezig met het leveren van een bijdrage aan het resultaat.;o;0;20;40;80;100;;;;;1;;;;1;
70;aversie tonen;Ik bemerk weerzin bij mezelf op het werk.;b;100;80;60;20;0;;;;;1;;;;;
71;feedback vragen;Ik vraag en ontvang feedback over mijn sterke en zwakke punten.;o;0;20;40;80;100;;1;;;;;;;;
72;defensief zijn;Ik reageer snel verdedigend als het om mijn doen en laten gaat.;b;100;80;60;20;0;;1;;;;;;;;
73;voldoening;Ik ben blij en tevreden met mijn werk.;o;0;20;40;80;100;1;;;;;;;;1;
74;ontevreden;Ik ben ontevreden over hoe het op het werk gaat.;b;100;80;60;20;0;1;;;;;;;;;
75;passend belonen;Ik vind dat onze arbeidsvoorwaarden passen bij de inspanningen die ik lever.;o;0;20;40;80;100;;;1;;;;;;;
76;bestraffen;Ik krijg alleen maar te horen wat ik fout doe.;b;100;80;60;20;0;;;1;;;;1;;;
77;spiegelen;Ik kijk in de spiegel om zo mijn eigen gedrag en handelen te verbeteren.;o;0;20;40;80;100;;;;1;;;;;;
78;vingerwijzen;Ik wijs met een beschuldigende vinger naar de ander.;b;100;80;60;20;0;;;;1;;1;;;;
79;bewust worden;Ik merk dat als ik groei dit invloed heeft op anderen.;o;0;20;40;80;100;;;;;1;;;;;1
80;onbewust zijn;ik reageer op mensen zonder te beseffen wat ik teweeg breng.;b;100;80;60;20;0;;;;;1;;;;;
81;respectvol zijn;Ik benader mensen met eerbied, ongeacht de persoon.;o;0;20;40;80;100;;1;;;;;;;;1
82;onbekend zijn;Ik weet wat er bij mijn collega's speelt.;b;0;20;40;80;100;;1;;;;;;;;
83;verbinding;Ik neem de gelegenheid om mijn kwetsbare kant te laten zien.;o;0;20;40;80;100;1;;;;;;;;;
84;eenzaamheid;ik heb het gevoel dat ik er alleen voor sta.;b;100;80;60;20;0;1;;;;;;;;;
85;rekening houden;Ik merk dat anderen rekening houden met wat mij bezighoudt.;o;0;20;40;80;100;;;1;;;;;;;
86;ieder voor zich;Ik zie dat mijn teamleden uitsluitend voor hun eigen gewin bezig zijn.;b;100;80;60;20;0;;;1;;;;;;;
87;waardering geven;Ik spreek waardering uit naar anderen.;o;0;20;40;80;100;;;;1;;;;;1;
88;schuld geven;Ik verwijt anderen de fouten die zij maken.;b;100;80;60;20;0;;;;1;;;;;;
89;samen werken;Ik zoek de ander op om samen iets tot stand te brengen.;o;0;20;40;80;100;;;;;1;;;;1;
90;ontwijken;Ik ga mensen en zaken die ik lastig vind uit de weg.;b;100;80;60;20;0;;;;;1;;1;;;
91;discipline hebben;Ik leg mezelf op om te doen wat ik afgesproken heb.;o;0;20;40;80;100;;1;;;;;;;;
92;terugvallen;Ik kan me er toe zetten om mijn gedrag te veranderen.;b;0;20;40;80;100;;1;;;;;1;;;
93;authentiek;Ik voel dat mijn werk past bij wie ik van nature ben.;o;0;20;40;80;100;1;;;;;;;;;
94;onverschilligheid;Ik ben oprecht begaan met de mensen waarmee ik samenwerk.;b;0;20;60;80;100;1;;;;;1;;;;
95;voorbeeld gedrag;Ik zie dat anderen binnen de organisatie het goede voorbeeld geven.;o;0;20;40;80;100;;;1;;;;;;;
96;voorbeeld gedrag;Ik zie dat anderen binnen de organisatie het slechte voorbeeld geven.;b;100;80;60;20;0;;;1;;;;;;;
97;zelf bewegen;ik ben regisseur van mijn eigen leven.;o;0;20;40;80;100;;;;1;;;;;;1
98;mee bewegen;Ik kom zelf pas in beweging als anderen bewegen.;b;100;80;60;20;0;;;;1;;;;;;
99;onafhankelijk zijn;Ik maak mijn keuzes die passen bij mijn eigen koers.;o;0;20;40;80;100;;;;;1;;;;;1
100;afhankelijk zijn;Ik ben afhankelijk van de keuzes van anderen.;b;100;80;60;20;0;;;;;1;;;;;
