R;factor;vraag;s;nooit;incidenteel;soms;meestal;altijd;Gevoel;Houding;Organisatie Kenmerk;Gedrag;Effect;Transformatie;Vitaliteit;Veranderen;Prestatie;Waarden
45;commitment geven;Ik heb er vertrouwen in dat we ons houden aan wat we uitgesproken hebben.;o;0;20;40;80;100;;;1;;;;;1;;
46;onduidelijk blijven;Ik weet wat me te wachten staat, wat er gaat gebeuren.;b;0;20;40;80;100;;;1;;;;;;;
47;initiatieven nemen;Ik kom ongevraagd vanuit mezelf in actie.;o;0;20;40;80;100;;;;1;;;;;1;
48;wegkijken;Ik kijk liever weg in plaats van zelf in actie te komen.;b;100;80;60;20;0;;;;1;;;1;;;
49;mogelijkheden onderzoeken;Ik signaleer nieuwe (on)mogelijkheden vanuit kansen en bedreigingen.;o;0;20;40;80;100;;;;;1;;;;;
50;bedreigingen zien;Ik blijft het liefst in de luwte.;b;100;80;60;20;0;;;;;1;;1;;;
51;analyseren;Ik verdiep me in de haalbaarheid van mogelijkheden die ik zie;o;0;20;40;80;100;;1;;;;;;;;
52;veronderstellen;Ik ben ervan overtuigd dat wat we gaan doen niet werkt.;b;100;80;60;20;0;;1;;;;;;;;
53;verantwoordelijkheid;Ik vind dat ik aangesproken kan worden op waar ik mee bezig ben.;o;0;20;40;80;100;1;;;;;;;;;1
54;miskenning;Ik heb het  gevoel dat mijn mening er toe doet.;b;0;20;60;80;100;1;;;;;;;;;
55;kwaliteit leveren;Ik zie dat de organisatie de kwaliteit levert die van ons verwacht wordt.;o;0;20;40;80;100;;;1;;;;;;1;
56;brandjes blussen;Ik zie dat de organisatie niet verder komt dan het blussen van brandjes;b;100;80;60;20;0;;;1;;;;;;;
57;doelen stellen;Ik heb mijn doelstellingen helder en smart geformuleerd.;o;0;20;40;80;100;;;;1;;;;1;;
58;meelopen;Ik pas me aan, ook al zie ik het niet zitten.;b;100;80;60;20;0;;;;1;;;1;;;
59;strategie bepalen;Ik heb vastgesteld hoe ik mijn doelstellingen ga bereiken.;o;0;20;40;80;100;;;;;1;;;;1;
60;overleven;Ik doe in mijn functie niet meer dan me gevraagd wordt.;b;100;80;60;20;0;;;;;1;;;;;
61;capaciteiten benutten;Ik heb de juiste mensen, middelen, methoden en tijd om aan de slag te gaan;o;0;20;40;80;100;;1;;;;;;;1;
62;onmacht;Ik zie teveel zaken die eerst nog geregeld moeten worden (ook bij mijzelf);b;100;80;60;20;0;;1;;;;;1;;;
63;vermogen;Ik bruis van enthousiasme en motivatie.;o;0;20;40;80;100;1;;;;;1;;;;
64;gelatenheid;Ik berust in hoe mensen en situaties zijn.;b;100;80;60;20;0;1;;;;;;;;;
65;communicatie;Ik informeer en ben goed geinformeerd over de gang van zaken.;o;0;20;40;80;100;;;1;;;;;;1;
66;rumoer;Ik vind dat er veel geroddeld en dat veroorzaakt veell ruis op de lijn.;b;100;80;60;20;0;;;1;;;;;;;
67;handelen;Ik ben geneigd zaken uit te stellen.;o;100;80;40;20;0;;;;1;;;;;;
68;weerstand bieden;Ik verzet me tegen de gang van zaken.;b;100;80;60;20;0;;;;1;;;;;;
69;prestaties leveren;Ik ben lekker bezig en zit goed in mijn vel.;o;0;20;40;80;100;;;;;1;;;;1;
70;aversie tonen;Ik heb een hekel aan hoe het gaat.;b;100;80;60;20;0;;;;;1;;;;;
71;open zijn;Ik vraag en geef feedback over mijn handelen en mijn gedrag.;o;0;20;40;80;100;;1;;;;;;;;
72;gesloten zijn;Ik reageer snel verdedigend als het om mijn doen en laten gaat.;b;100;80;60;20;0;;1;;;;;;;;
73;voldoening;Ik ervaar plezier in mijn werk en omgeving.;o;0;20;40;80;100;1;;;;;;;;1;
74;ontevredenheid;Ik klaag meer dan me lief is.;b;100;80;60;20;0;1;;;;;;;;;
75;passend belonen;Ik vind dat de beloning afgestemd is op wat we bereikt hebben.;o;0;20;40;80;100;;;1;;;;;;;
76;bestraffen;Ik krijg alleen maar te horen wat er niet goed gaat.;b;100;80;60;20;0;;;1;;;;1;;;
77;spiegelen;Ik kijk in de spiegel om zo mijn eigen gedrag en handelen te verbeteren.;o;0;20;40;80;100;;;;1;;;;;;
78;vinger wijzen;Ik vind dat anderen de oorzaak zijn van de problemen.;b;100;80;60;20;0;;;;1;;1;;;;
79;bewust worden;Ik ben me bewust dat als anderen groeien ik ook groei.;o;0;20;40;80;100;;;;;1;;;;;1
80;onbewust blijven;Ik blijf in het 'ja-maar' hangen.;b;100;80;60;20;0;;;;;1;;;;;
81;respect hebben;Ik neem de tijd zonder oordeel naar een ander te luisteren.;o;0;20;40;80;100;;1;;;;;;;;1
82;onwetend zijn;Ik weet hoe anderen in mijn omgeving zich voelen.;b;0;20;60;80;100;;1;;;;;;;;
83;verbinding;Ik deel de pijn en/of het plezier wat ik voel voor anderen.;o;0;20;40;80;100;1;;;;;;;;;
84;eenzaamheid;Ik heb het gevoel dat ik er alleen voor sta.;b;100;80;60;20;0;1;;;;;;;;;
85;begrijpen en afstemmen;Ik merk dat anderen rekening houden met wat mij bezighoudt.;o;0;20;40;80;100;;;1;;;;;;;
86;ieder voor zich;Ik vind dat iedereen voor zichzelf, voor zijn eigen gewin, bezig is.;b;100;80;60;20;0;;;1;;;;;;;
87;waardering geven;Ik neem detijd om aandacht te geven en waardering uit te spreken.;o;0;20;40;80;100;;;;1;;;;;1;
88;schuld geven;Ik verwijt anderen de fouten die zij maken.;b;100;80;60;20;0;;;;1;;;;;;
89;samenwerken;Ik zoek de ander op om samen te werken.;o;0;20;40;80;100;;;;;1;;;;1;
90;ontwijken;Ik ga mensen en zaken die ik lastig/moeilijk vind uit de weg.;b;100;80;60;20;0;;;;;1;;1;;;
91;discipline hebben;Ik weet waar ij het voor doe, dus zet ik door.;o;0;20;40;80;100;;1;;;;;;;;
92;terugvallen;Ik kan me er toe zetten om het anders te blijven doen.;b;0;20;60;80;100;;1;;;;;1;;;
93;volledig betrokken;Voor mij geldt : als ze aan mijn werkgever komen, komen ze aan mijn.;o;0;20;40;80;100;1;;;;;;;;;
94;onverschilligheid;Ik voel dat wat binnen mijn team speelt mij raakt.;b;0;20;60;80;100;1;;;;;1;;;;
95;voorbeeld gedrag;Ik zie dat anderen binnen mijn organisatie het goede voorbeeld geven.;o;0;20;40;80;100;;;1;;;;;;;
96;voorbeeld gedrag;Ik zie dat anderen binnen mijn organisatie het slechte voorbeeld geven.;b;100;80;60;20;0;;;1;;;;;;;
97;zelf bewegen;Ik blijf de eerste stap zetten om in beweging te komen.;o;0;20;40;80;100;;;;1;;;;;;1
98;mee bewegen;Ik waai met alle winden mee.;b;100;80;60;20;0;;;;1;;;;;;
99;onafhankelijk;Ik maak mijn eigen keuzes, wat er ook gebeurt.;o;0;20;40;80;100;;;;;1;;;;;1
100;afhankelijk;Ik laat mijn organisatie de keuzes voor mij maken.;b;100;80;60;20;0;;;;;1;;;;;
